"Press Releases",""
"Press Releases",""
"Press Releases",""
"Bank of Canada maintains overnight rate target at 1 ¾ percent","\n            The Bank of Canada today maintained its target for the overnight rate at 1 ¾ percent. The Bank Rate is correspondingly 2 percent and the deposit rate is 1 ½ percent.\nThe Bank’s October projection for global economic growth appears to be intact. There is nascent evidence that the global economy is stabilizing, with growth still expected to edge higher over the next couple of years. Financial markets have been supported by central bank actions and waning recession concerns, while being buffeted by news on the trade front. Indeed, ongoing trade conflicts and related uncertainty are still weighing on global economic activity, and remain the biggest source of risk to the outlook. In this context, commodity prices and the Canadian dollar have remained relatively stable.\nGrowth in Canada slowed in the third quarter of 2019 to 1.3 percent, as expected. Consumer spending expanded moderately, underpinned by stronger wage growth. Housing investment was also a source of strength, supported by population growth and low mortgage rates. The Bank continues to monitor the evolution of financial vulnerabilities related to the household sector. As expected, exports contracted, driven by non-energy commodities. However, investment spending unexpectedly showed strong growth, notably in transportation equipment and engineering projects. The Bank will be assessing the extent to which this points to renewed momentum in investment.\nCPI inflation in Canada remains at target, and measures of core inflation are around 2 percent, consistent with an economy operating near capacity. Inflation will increase temporarily in the coming months due to year-over-year movements in gasoline prices. The Bank continues to expect inflation to track close to the 2 percent target over the next two years.\nBased on developments since October, Governing Council judges it appropriate to maintain the current level of the overnight rate target. Future interest rate decisions will be guided by the Bank’s continuing assessment of the adverse impact of trade conflicts against the sources of resilience in the Canadian economy – notably consumer spending and housing activity. Fiscal policy developments will also figure into the Bank’s updated outlook in January.\nInformation note\nThe next scheduled date for announcing the overnight rate target is January 22, 2020. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at the same time.\n\n        "
"Press Releases",""
"Press Releases",""
"Press Releases",""
"Press Releases",""
"Press Releases",""
"Press Releases",""
"Vulnerabilities in the Canadian financial system remain elevated, but elements for improvement are emerging","\n            The high level of household indebtedness and housing market imbalances remain the most important vulnerabilities identified by the Bank of Canada in its Financial System Review (FSR), published today. While these vulnerabilities are still elevated, improving economic conditions and recent changes to housing policy should support an easing of these vulnerabilities over time.\n“Our financial system continues to be resilient, and is being bolstered by stronger growth and job creation, but we need to continue to watch financial vulnerabilities closely,” said Governor Stephen S. Poloz.\nWhile household debt relative to income continues to rise, there have been notable shifts in mortgage activity over the past year, including an improvement in the quality of new high-ratio mortgages (those with a down payment of less than 20 per cent).\nAt the same time, some indicators suggest increasing risks associated with new low-ratio mortgages, such as a greater proportion of these mortgages being issued to highly indebted households. Recent changes to guidelines for low-ratio mortgages will take effect in January 2018 and are expected to mitigate some of these risks over time.\nThe Bank of Canada continues to monitor housing market imbalances closely, particularly for signs of extrapolative expectations. In both the Greater Toronto Area and the Greater Vancouver Area, economic fundamentals, combined with limited supply, continue to support house price growth. However, housing policy measures, together with higher mortgage rates, are expected to weigh on housing activity.\nA third vulnerability highlighted in the FSR concerns cyber threats and the interconnectedness of the financial system. Through the Bank’s oversight of critical financial market infrastructures, it imposes high standards for risk resilience. In this context, the Bank is working with industry and public sector partners to reinforce the resilience of core payment systems and to ensure that key financial system participants can recover quickly in the event of a cyberattack.\nThe risk scenarios summarized in this FSR are the same as in June.\nThe November issue also features two reports written by Bank of Canada staff:\n\nShoring Up the Foundations for a More Resilient Banking System: The Development of Basel III \nAnalysis of Household Vulnerabilities Using Loan-Level Mortgage Data\n\n\n        "
"Release of the Financial System Review","\n            Good morning. Thank you for coming here to the Bank of Canada. Senior Deputy Governor Wilkins and I are happy to be with you to talk about the latest issue of the Bank’s Financial System Review (FSR), which we published today.\nI will start with a reminder about the purpose of the FSR. In it, we identify key vulnerabilities in the financial system, which can interact with and magnify economic shocks. We monitor the evolution of these vulnerabilities, and we look at their potential implications for the financial system and economy if a significant shock were to occur.\nThe most important vulnerabilities for the financial system remain the high level of household indebtedness and imbalances in housing markets. These vulnerabilities continue to be elevated and it will take a long time for them to return to more sustainable levels. A stronger economy and sound policies are working in the same direction to help bring about a gradual easing of these vulnerabilities, and this trend should continue. Let me give you some details.\nSince our last report in June, household debt has continued to rise more quickly than household income. Borrowing for mortgages and home equity lines of credit is driving this growth. Further, we see that households with the highest debt relative to their income are carrying a growing share of the total. That said, new and pending rules for housing finance should help mitigate this vulnerability.\nLast year, the government introduced stricter rules for high-ratio mortgages—that is, where the down payment is less than 20 per cent of the value of the home. These rules are continuing to improve the quality of new high-ratio mortgages. Fewer of these mortgages are being issued, particularly among highly indebted households.\nHowever, we have become increasingly concerned about low-ratio mortgages—those where the down payment is more than 20 per cent of the value of the home. We are continuing to see an increase in new low-ratio mortgages that have riskier characteristics. More of these are being taken out by highly indebted households, and a growing share of borrowers is choosing an amortization period longer than 25 years. Last month, the Office of the Superintendent of Financial Institutions announced enhanced guidelines for low-ratio mortgages that are similar to the changes announced for mortgage insurance last autumn. There will be restrictions on borrowing from multiple sources to finance a purchase, and borrowers will have to show that they could handle higher interest rates. That is just good practice for anybody who is taking on new debt.\nWhile we can be confident that the new rules will help mitigate this vulnerability, their precise impact will depend on how both borrowers and lenders respond. We will be watching this closely when the guidelines come into effect next year.\nAnother important development since June is the Bank’s tightening of monetary policy through two interest-rate increases, which came in the context of improving economic fundamentals. The effect of these moves on mortgages is complex. Roughly 15 per cent of borrowers have floating-rate mortgages, and they felt the impact immediately. However, interest rates on fixed-rate mortgages only change when they are renewed, and about half of all mortgages will not reset for more than a year. Some of those that will reset next year could even see their interest rate decline, depending on their term. Improvements in the labour market, particularly stronger wage growth, should help households adjust to higher interest rates. But clearly, this is another area we will watch closely.\nThe second vulnerability, imbalances in the housing market, has also been affected by recent changes in government policy. Price growth has slowed in the Greater Toronto Area after the Ontario government introduced policies aimed at housing affordability. This slowing pulled down national house price growth to an annual rate of 10 per cent.\nThe Toronto-area market is following a pattern similar to what took place in the Greater Vancouver Area last year, w" <> ...
"Financial System Review - Press Conference (Webcasts) - November 2017","\n            Press conference by Governor Stephen S. Poloz and Senior Deputy Governor Carolyn A. Wilkins. (11:30 (ET) approx.).\n\n        "
"Press Releases",""
"Bank of Canada publishes its 2018 schedule for policy interest rate announcements and the release of the Monetary Policy Report","\n            The Bank of Canada today published its 2018 schedule for policy interest rate announcements and the release of the quarterly Monetary Policy Report. It also reconfirmed the scheduled announcement dates for the remainder of this year.\nThe scheduled announcement dates from September 2017 through December 2017 are reconfirmed as follows:\n\nWednesday, September 6\nWednesday, October 25*\nWednesday, December 6\n\nThe scheduled announcement dates for 2018 are as follows:\n\nWednesday, January 17*\nWednesday, March 7\nWednesday, April 18*\nWednesday, May 30\nWednesday, July 11*\nWednesday, September 5\nWednesday, October 24*\nWednesday, December 5\n\n*Monetary Policy Report published\nAll rate announcements will be made at 10:00 (ET), and the Monetary Policy Report will be published concurrently with the January, April, July and October rate announcements.\n\n        "
"Press Releases",""
"Press Releases",""
"Press Releases",""
"#bankNOTEable Canadian woman will be revealed on 8 December, Bank of Canada publishes short list of five","\n            On Thursday, 8 December 2016, the Minister of Finance and the Governor of the Bank of Canada will reveal which iconic Canadian woman will be featured on the next regularly circulating bank note, expected in 2018.\nIn advance of that announcement, the Bank today published the short list from which the #bankNOTEable woman will be chosen.\nAn independent Advisory Council short-listed these five iconic Canadian women earlier this year for consideration by the Minister of Finance.\nThey are (in alphabetical order):\n\nViola Desmond (1914–1965)\nE. Pauline Johnson (1861–1913)\nElizabeth (Elsie) MacGill (1905–1980)\nFanny (Bobbie) Rosenfeld (1904–1969)\nIdola Saint-Jean (1880–1945)\n\nThe women were selected from 461 eligible nominees submitted by Canadians during an open call for nominations, launched by Prime Minister Justin Trudeau on International Women’s Day, 8 March 2016.\nMore than 26,300 submissions were received from Canadians over a five-week period. The Advisory Council initially reduced these nominations to a long list of 12 women, guided by the following principles: Canada is comprised of many different communities; the women who appear on the long list should resonate with Canadians and reflect the diversity of Canada; and their achievements must be seen in the context of the time in which they lived.\nIn compiling their short list, Advisory Council members agreed that these five women best articulated the Council’s ultimate selection criteria: that nominees should have broken or overcome barriers, made a significant change, left a lasting legacy, and be inspirational.\n“The Advisory Council had the difficult task of selecting only five outstanding Canadian women from a vast field of strong choices, and I commend the members for their excellent work,” said Governor Stephen S. Poloz. “I am also delighted that this entire process encouraged a meaningful conversation among Canadians about the many exceptional women who have shaped our country.”\n“Canadian women made our country what it is today, and they deserve a place on our currency,” said Minister of Finance Bill Morneau. “Thanks to the work of the Council members and to the thousands who participated in the conversation, a new generation of young women and girls will be inspired by the stories of those who contributed so much to our society, our values and our history. And, in 2018, we will all have a constant reminder of these exceptional accomplishments to carry around with us wherever we go.”\n        "
"Press Releases",""
"Press Releases",""
"Bank of Canada maintains overnight rate target at 1/2 per cent","\n            The Bank of Canada today announced that it is maintaining its target for the overnight rate at 1/2 per cent. The Bank Rate is correspondingly 3/4 per cent and the deposit rate is 1/4 per cent.\nThe global economy is evolving largely as the Bank projected in its April Monetary Policy Report (MPR). In the United States, despite weakness in the first quarter, a number of indicators, including employment, point to a return to solid growth in 2016. Financial conditions remain accommodative, with ongoing geopolitical factors contributing to fragile market sentiment. Oil prices are higher, in part because of short-term supply disruptions.\nIn Canada, the economy’s structural adjustment to the oil price shock continues, but is proving to be uneven. Growth in the first quarter of 2016 appears to be in line with the Bank’s April projection, although business investment and intentions remain disappointing. The second quarter will be much weaker than predicted because of the devastating Alberta wildfires. The Bank’s preliminary assessment is that fire-related destruction and the associated halt to oil production will cut about 1 1/4 percentage points off real GDP growth in the second quarter. The economy is expected to rebound in the third quarter, as oil production resumes and reconstruction begins. While the Canadian dollar has been fluctuating in response to shifting expectations of US monetary policy and higher oil prices, it is now close to the level assumed in April.\nInflation is roughly in line with the Bank’s expectations. Total CPI inflation has risen recently, largely due to movements in gasoline prices, but remains slightly below the 2 per cent target. Measures of core inflation remain close to 2 per cent, reflecting the offsetting influences of past exchange rate depreciation and excess capacity.\nCanada’s housing market continues to display strong regional divergences, reinforced by the complex adjustment underway in the economy. In this context, household vulnerabilities have moved higher. Meanwhile, the risks to the Bank’s inflation projection remain roughly balanced. Therefore, the Bank’s Governing Council judges that the current stance of monetary policy is still appropriate, and the target for the overnight rate remains at 1/2 per cent.\nInformation note\nThe next scheduled date for announcing the overnight rate target is 13 July 2016. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at that time. \n\n        "
"Bank of Canada announces appointment of Advisor in New York Office","\n            The Bank of Canada today announced the appointment of Sheryl King as Advisor to the Governor, representing the Bank in its New York Office, effective 5 July 2016.\nReporting to Deputy Governor Lynn Patterson, and working closely with the Consulate General of Canada in New York, Ms. King will promote and strengthen ties between the Bank of Canada and New York’s financial and economic communities, with an emphasis on financial market and financial stability developments. She will also serve as a member of the Bank’s Monetary Policy Review and Financial System Review committees.\n“I am delighted to welcome Sheryl King back to the Bank and to our senior management team,” said Governor Stephen S. Poloz. “Her extensive background in US economic and financial market analysis, together with her well-established professional network in New York and beyond, will benefit the Bank greatly. We look forward to her thoughtful analysis and insightful perspective.”\nA native of Montréal, Ms. King has more than 20 years of experience in macroeconomic strategy, financial markets and central banking. Since 2014, she has been Managing Director North America and Global Quantitative Research at Roubini Global Economics. From 2009 to 2012, Ms. King was Chief Economist and Strategist at Merrill Lynch Canada.\nFrom 2004 to 2009, she was Assistant Chief US Economist at Merrill Lynch in New York.She has also worked as a US macro forecaster and as a bond and currency strategist at TD Bank. Earlier in her career, Ms. King spent eight years at the Bank of Canada, first as an economist and later as an analyst in the Bank’s Financial Markets Department. Ms. King holds a BA in economics from Concordia University and an MA in economics from Carleton University.\n“I am honoured to be returning to the Bank in this unique role, and I look forward to advising the Governor on global market issues while contributing to the institution’s important monetary policy and financial stability work,” Ms. King said.\n        "
"Press Releases",""
"Press Releases",""
"Bank of Canada introduces The Governor’s Challenge, a new student competition","\n            The Bank of Canada today announced a new student competition—The Governor’s Challenge—where teams simulate the role of monetary policy advisor to the Bank's Governing Council. Over 100 undergraduates from 22 universities across Canada are taking part in 2015–16, the competition’s inaugural year.\nWorking in teams, students analyze and forecast developments in the Canadian economy and develop a monetary policy recommendation. They present their work and recommendation to a panel of Bank of Canada judges, who evaluate the teams on the substance of their analysis, the quality of their presentation and evidence of strong teamwork.\nThe competition takes place in two parts. It began on 27 November 2015 with a first round of presentations via video conference. From among the competitors, the judges selected five finalists, representing the following universities:\n\nUniversity of Saskatchewan\nWilfrid Laurier University\nUniversity of Toronto (St. George campus)\nMcGill University\nSt. Francis Xavier University\n\nOn 13 February 2016, these five teams will compete against each other at the Bank’s head office in Ottawa to earn the title of The Governor’s Challenge national champion.\nGovernor Stephen S. Poloz, who will present a trophy to the winners of the national round, extended his congratulations to the finalists and to all the students and professors who participated. “I sincerely hope that, through participating in this competition, students will be inspired to learn more about the Canadian economy and the important role played by the Bank of Canada,” the Governor said. “Most of all, I hope they have a lot of fun taking part.”\nFor more information about The Governor's Challenge:\nEmail: \n        "
"Press Releases",""
"Press Releases",""
"Press Releases",""
"Press Releases",""
"Bank of Canada maintains overnight rate target at 1 per cent","\n            The Bank of Canada today announced that it is maintaining its target for the overnight rate at 1 per cent. The Bank Rate is correspondingly 1 1/4 per cent and the deposit rate is 3/4 per cent.\nInflation has risen by more than expected. The increase in inflation over the past year is largely due to the temporary effects of a lower Canadian dollar and some sector-specific factors, notably telecommunications and meat prices. Underlying inflation has edged up but remains below 2 per cent.\nThe U.S. economy has clearly strengthened, particularly business investment, which has benefitted Canada’s exports. Growth in the rest of the world, in contrast, continues to disappoint, leading authorities in some regions to deploy further policy stimulus. Oil prices have continued to fall, due to both supply and demand developments. In this context, global financial conditions have eased further.\nCanada's economy is showing signs of a broadening recovery. Stronger exports are beginning to be reflected in increased business investment and employment. This suggests that the hoped-for sequence of rebuilding that will lead to balanced and self-sustaining growth may finally have begun. However, the lower profile for oil and certain other commodity prices will weigh on the Canadian economy.\nThe net effect of these recent developments, together with upward revisions to historical data, is that the output gap appears to be smaller than the Bank had projected in the October Monetary Policy Report (MPR). However, the labour market continues to indicate significant slack in the economy.\nWhile inflation is at a higher starting point relative to the October MPR, weaker oil prices pose an important downside risk to the inflation profile. This is tempered by a stronger U.S. economy, Canadian dollar depreciation, and recent federal fiscal measures. Household imbalances, meanwhile, present a significant risk to financial stability. Overall, the balance of risks remains within the zone for which the current stance of monetary policy is appropriate and therefore the target for the overnight rate remains at 1 per cent.\nInformation note:\nThe next scheduled date for announcing the overnight rate target is 21 January 2015. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR at the same time.\n\n        "
"Press Releases",""
"Press Releases",""
"Press Releases",""
"Bank of Canada maintains overnight rate target at 1 per cent","\n            The Bank of Canada today announced that it is maintaining its target for the overnight rate at 1 per cent. The Bank Rate is correspondingly 1 1/4 per cent and the deposit rate is 3/4 per cent.\nGlobal economic growth remains modest, although the pace of economic activity varies significantly across the major economies. The U.S. economic expansion is proceeding at a moderate pace, with the continued strengthening in private demand being partly offset by the impact of fiscal consolidation. In Japan, fiscal and monetary policy stimulus is contributing to a rapid recovery in economic growth. In contrast, economic activity in the euro area remains weak. While stronger than in the advanced economies, real GDP growth in China and other emerging market economies has slowed, exerting downward pressure on global commodity prices and, as a consequence, the Bank has downgraded slightly its global growth forecast. The global economy is still expected to pick up in 2014 and 2015.\nIn Canada, economic growth is expected to be choppy in the near term, owing to unusual temporary factors, although the overall outlook is little changed from the Bank’s projection in its April Monetary Policy Report (MPR). Annual GDP growth is projected to average 1.8 per cent in 2013 and 2.7 per cent in both 2014 and 2015, supported by very accommodative financial conditions. Despite ongoing competitiveness challenges, exports are projected to gather momentum, which should boost confidence and lead to increasingly solid growth in business investment. The economy will also be supported by continued growth in consumer spending, while further modest declines in residential investment are expected. Growth in real GDP is projected to be sufficient to absorb the current material excess capacity in the economy, closing the output gap around mid-2015, as projected in the April MPR.\nInflation has been low in recent months and is expected to remain subdued in the near term. The weakness in core inflation reflects persistent material excess capacity, heightened competitive pressures on retailers, relatively subdued wage increases, and some temporary sector-specific factors. Total CPI inflation has also been restrained by declining mortgage interest costs. As the economy gradually returns to full capacity and with inflation expectations well-anchored, both core and total CPI inflation are expected to return to 2 per cent around mid-2015.\nAgainst this backdrop, the Bank has decided to maintain the target for the overnight rate at 1 per cent.  As long as there is significant slack in the Canadian economy, the inflation outlook remains muted, and imbalances in the household sector continue to evolve constructively, the considerable monetary policy stimulus currently in place will remain appropriate. Over time, as the normalization of these conditions unfolds, a gradual normalization of policy interest rates can also be expected, consistent with achieving the 2 per cent inflation target.\nInformation note:\nThe next scheduled date for announcing the overnight rate target is 4 September 2013. The next full update of the Bank’s outlook for the economy and inflation, including risks to the projection, will be published in the MPR on 23 October.\n        "
"Monetary Policy Report - Press Conference (Audio) - July 2013","\n            Release of the Monetary Policy Report - (Audiocast) Press conference by Governor Stephen S. Poloz and Senior Deputy Governor Tiff Macklem.\n        "
"Monetary Policy Report - Press Conference (Video) - July 2013","\n            Release of the Monetary Policy Report - (Videocast) Press conference by Governor Stephen S. Poloz and Senior Deputy Governor Tiff Macklem.\n\n        "
"Press Releases",""
"Release of the Monetary Policy Report","\n            Good morning. Tiff and I are pleased to be here with you today to discuss the July Monetary Policy Report, which the Bank published this morning.\n\nGlobal economic growth remains modest, although the pace of economic activity varies significantly across the major economies.\nThe U.S. economic expansion is proceeding at a moderate pace. The continued strengthening in private demand is being partly offset by the impact of fiscal consolidation.\nIn Japan, fiscal and monetary policy stimulus is contributing to a rapid recovery in economic growth.\nIn contrast, economic activity in the euro area remains weak.\nIn China and other emerging market economies, real GDP growth has slowed, although it is stronger than in the advanced economies. This is exerting downward pressure on global commodity prices.\nAnd, as a consequence, the Bank has downgraded slightly its global growth forecast.\nThe global economy is still expected to pick up in 2014 and 2015.\nIn Canada, economic growth is expected to be choppy in the near term, owing to unusual temporary factors. The overall outlook is little changed from the Bank’s projection in April.\nAnnual GDP growth is projected to average 1.8 per cent in 2013 and \n 2.7 per cent in both 2014 and 2015, supported by very accommodative financial conditions.\nDespite ongoing competitiveness challenges, exports are projected to gather momentum. This should boost confidence and lead to increasingly solid growth in business investment. The economy will also be supported by continued growth in consumer spending, while further modest declines in residential investment are expected.\nGrowth in real GDP is projected to be sufficient to absorb the current material excess capacity in the economy, closing the output gap around mid-2015, as projected in April.\nInflation has been low in recent months and is expected to remain subdued in the near term.\nThe weakness in core inflation reflects persistent material excess capacity, heightened competitive pressures on retailers, relatively subdued wage increases, and some temporary sector-specific factors. Total CPI inflation has also been restrained by declining mortgage interest costs.\nAs the economy gradually returns to full capacity and with inflation expectations well-anchored, both core and total CPI inflation are expected to return to 2 per cent around mid-2015.\nThe outlook balances the many upside and downside risks to inflation. Three of the most important emanate from the external environment, and include the risks of stronger U.S. private demand, a failure to contain the crisis in Europe, and weaker growth in China and other emerging-market economies.\nThe most important domestic source of risk to the Canadian economy remains the possibility of a disorderly unwinding of household sector imbalances.\nAgainst this backdrop, the Bank today decided to maintain the target for the overnight rate at 1 per cent.  \nAs long as there is significant slack in the Canadian economy, the inflation outlook remains muted, and imbalances in the household sector continue to evolve constructively, the considerable monetary policy stimulus currently in place will remain appropriate. Over time, as the normalization of these conditions unfolds, a gradual normalization of policy interest rates can also be expected, consistent with achieving the 2 per cent inflation target.\n\nWith that, Tiff and I would be pleased to take your questions.\n\n        "
"Press Releases",""
"Press Releases",""
"Press Releases",""
"The Bank of Canada Releases Its Annual Report for 2011","\n            The Bank of Canada’s Annual Report for 2011 was tabled in the House of Commons today. The Report will be available at 12:00 (ET) on the Bank's website .\n        "
"Annual Report 2011","\n            2011 was a challenging year for the global economy. Amid global turbulence, Canada’s macroeconomic policy framework has stood us well. The 2011 Annual Report provides a Message from the Governor, highlights key achievements over the year, describes the Bank’s corporate governance, and presents financial statements in conjunction with Management’s Discussion and Analysis.\n        "
"",""
"",""
"Press Releases",""
"Press Releases",""
"Press Releases",""
"Press Releases",""
